x [um],y [um],Vmem [mV]
6.791107525826474500e+01,1.553107487738621373e+01,-4.369949325456655487e+01
8.519881720569048866e+01,1.532010247881894038e+01,-4.369165095063576842e+01
1.011474924203010914e+02,1.514065592225229651e+01,-4.367813738416790414e+01
5.049564793869168255e+01,2.334548067266509364e+01,-4.370726470142709275e+01
6.725420804698957511e+01,2.350372616428260741e+01,-4.370403409016464735e+01
8.473738667859416296e+01,2.433220116593412996e+01,-4.369105461921518696e+01
1.019375975863218855e+02,2.377994836310225324e+01,-4.367185570640801728e+01
3.455838320267334041e+01,3.435238468998267081e+01,-4.370654300678113202e+01
5.041690793130047155e+01,3.215788505648745144e+01,-4.371080028835275044e+01
6.725097829604843014e+01,3.279670880797315391e+01,-4.370245353449571013e+01
8.464384264672430902e+01,3.330013680713781810e+01,-4.367851640386427192e+01
1.022131789191126927e+02,3.302842258907193695e+01,-4.364333854082844510e+01
3.486206885517816545e+01,4.351171800983063775e+01,-4.370999844205972806e+01
5.083580506371504981e+01,4.221916698569103943e+01,-4.371035048495671305e+01
6.751586196401689222e+01,4.216858014409736910e+01,-4.369329116545763725e+01
8.486099742155921888e+01,4.232148619911158249e+01,-4.364784027400172306e+01
1.020750878427783874e+02,4.252383161960999303e+01,-4.357361544914299145e+01
1.939374027229295550e+01,5.287924265812780078e+01,-4.370118955847122066e+01
3.377835037425398212e+01,5.236876309774139315e+01,-4.371218884581778497e+01
5.109033400074498843e+01,5.195754655921002296e+01,-4.370659979564684505e+01
6.822031257337556553e+01,5.150638810370616483e+01,-4.367436163757002987e+01
8.514442227734127755e+01,5.176250712636809226e+01,-4.358714618611381297e+01
1.020669120346181842e+02,5.197995263040690617e+01,-4.342594930193088487e+01
1.355821106502800717e+02,5.137406696039419529e+01,-4.330946192667218497e+01
1.498552874539721813e+02,5.308225105938041821e+01,-4.334021013440329284e+01
1.757892711811034303e+01,6.139067186481120331e+01,-4.370338233517677651e+01
3.401990358396936642e+01,6.197207066228756389e+01,-4.371225959098401859e+01
5.122674987131642155e+01,6.134947914415359094e+01,-4.370040567811809495e+01
6.819951271897862455e+01,6.099095532838908440e+01,-4.364702196259922573e+01
8.516870086514072113e+01,6.136915486450477886e+01,-4.348467433042755204e+01
1.021121715021077847e+02,6.148367054961513389e+01,-4.311148695238037476e+01
1.190355295692343418e+02,6.133001620740565585e+01,-4.268521050192750721e+01
1.356236963633518258e+02,6.139968205760892062e+01,-4.291863744404668779e+01
1.514656440155200698e+02,6.104333090396483641e+01,-4.319507749144469955e+01
1.758964821498628694e+01,7.115734709317908369e+01,-4.370055610330044260e+01
3.356173999714743417e+01,7.135745273231360386e+01,-4.371136843007342065e+01
5.086816065410565102e+01,7.076522082538828329e+01,-4.369337470164244763e+01
6.787859881872667245e+01,7.060952287061161314e+01,-4.361357637264880793e+01
8.479133174337506773e+01,7.086636325292231220e+01,-4.334428860253497362e+01
1.019396382899212341e+02,7.097788059009100436e+01,-4.255217628005765107e+01
1.190703348300412188e+02,7.085259028861150910e+01,-4.124482815410232206e+01
1.360163835025653611e+02,7.080482746097305835e+01,-4.215942279828801276e+01
1.520152583387782101e+02,7.088529897292771409e+01,-4.289964385520288204e+01
