x [um],y [um],Vmem [mV]
6.791107525826474500e+01,1.553107487738621373e+01,-4.420243867875156241e+01
8.519881720569048866e+01,1.532010247881894038e+01,-4.419524108475770419e+01
1.011474924203010914e+02,1.514065592225229651e+01,-4.418279358809473933e+01
5.049564793869168255e+01,2.334548067266509364e+01,-4.420959152876014286e+01
6.725420804698957511e+01,2.350372616428260741e+01,-4.420663968684721112e+01
8.473738667859416296e+01,2.433220116593412996e+01,-4.419471017264667267e+01
1.019375975863218855e+02,2.377994836310225324e+01,-4.417689850145587371e+01
3.455838320267334041e+01,3.435238468998267081e+01,-4.420892704044368315e+01
5.041690793130047155e+01,3.215788505648745144e+01,-4.421286705260641270e+01
6.725097829604843014e+01,3.279670880797315391e+01,-4.420519983722903845e+01
8.464384264672430902e+01,3.330013680713781810e+01,-4.418319911210036821e+01
1.022131789191126927e+02,3.302842258907193695e+01,-4.415051758941743998e+01
3.486206885517816545e+01,4.351171800983063775e+01,-4.421212337082975097e+01
5.083580506371504981e+01,4.221916698569103943e+01,-4.421246289715754330e+01
6.751586196401689222e+01,4.216858014409736910e+01,-4.419678331622861123e+01
8.486099742155921888e+01,4.232148619911158249e+01,-4.415501730578799311e+01
1.020750878427783874e+02,4.252383161960999303e+01,-4.408616183119584520e+01
1.939374027229295550e+01,5.287924265812780078e+01,-4.420398020590836552e+01
3.377835037425398212e+01,5.236876309774139315e+01,-4.421414640438285204e+01
5.109033400074498843e+01,5.195754655921002296e+01,-4.420901894551424505e+01
6.822031257337556553e+01,5.150638810370616483e+01,-4.417939049733254109e+01
8.514442227734127755e+01,5.176250712636809226e+01,-4.409927885759216082e+01
1.020669120346181842e+02,5.197995263040690617e+01,-4.394992348583068775e+01
1.355821106502800717e+02,5.137406696039419529e+01,-4.384658822091770247e+01
1.498552874539721813e+02,5.308225105938041821e+01,-4.387280069253640846e+01
1.757892711811034303e+01,6.139067186481120331e+01,-4.420601326936336761e+01
3.401990358396936642e+01,6.197207066228756389e+01,-4.421421411955903125e+01
5.122674987131642155e+01,6.134947914415359094e+01,-4.420332835028489171e+01
6.819951271897862455e+01,6.099095532838908440e+01,-4.415427180337559321e+01
8.516870086514072113e+01,6.136915486450477886e+01,-4.400525733802705020e+01
1.021121715021077847e+02,6.148367054961513389e+01,-4.366403744107374507e+01
1.190355295692343418e+02,6.133001620740565585e+01,-4.328218907899154289e+01
1.356236963633518258e+02,6.139968205760892062e+01,-4.348798824808513785e+01
1.514656440155200698e+02,6.104333090396483641e+01,-4.374003848939113226e+01
1.758964821498628694e+01,7.115734709317908369e+01,-4.420342814557620414e+01
3.356173999714743417e+01,7.135745273231360386e+01,-4.421339914236277480e+01
5.086816065410565102e+01,7.076522082538828329e+01,-4.419686799246933617e+01
6.787859881872667245e+01,7.060952287061161314e+01,-4.412355295327230920e+01
8.479133174337506773e+01,7.086636325292231220e+01,-4.387662955319618874e+01
1.019396382899212341e+02,7.097788059009100436e+01,-4.315500054325239176e+01
1.190703348300412188e+02,7.085259028861150910e+01,-4.197972180554485533e+01
