x [um],y [um],Vmem [mV]
6.762640202007051471e+01,1.519353373627208725e+01,-2.668277385449216510e+01
8.491959852709355516e+01,1.483216689947952815e+01,-2.670253401745802435e+01
1.019674036431568283e+02,1.677697452867750627e+01,-2.676182334604782653e+01
5.228591708942305871e+01,2.485392431918499767e+01,-2.666379806661121421e+01
6.844586739653092877e+01,2.385548000622464926e+01,-2.667328982864428966e+01
8.491907847283202670e+01,2.349156634085620254e+01,-2.670787946144823977e+01
1.020426098947391438e+02,2.376761216176398150e+01,-2.676198424060207870e+01
3.528770741517854503e+01,3.440202180562466339e+01,-2.666725223379596699e+01
5.150368845743913937e+01,3.331473698838491515e+01,-2.665645178529262083e+01
6.803540911716071093e+01,3.310693281180646608e+01,-2.668062394839584783e+01
8.496089284166545497e+01,3.300780749022524674e+01,-2.674928892910467582e+01
1.019955689180014673e+02,3.301229094988460133e+01,-2.683379011861325836e+01
3.469073988649729046e+01,4.291261928454699870e+01,-2.665777031650159046e+01
5.120443940243148973e+01,4.246174740130611269e+01,-2.665674018756759622e+01
6.791518042560605295e+01,4.241198406823601630e+01,-2.670928973064861012e+01
8.482492701176435901e+01,4.237348022687501725e+01,-2.684334704973056063e+01
1.020479805137496356e+02,4.236717730772608803e+01,-2.701318865528771695e+01
1.966059442710609062e+01,5.395650966818640626e+01,-2.667343443114399903e+01
3.456247806079731077e+01,5.230616179643573105e+01,-2.664808572948592058e+01
5.102792366389179790e+01,5.193360618171843868e+01,-2.666559172913374098e+01
6.782561325009578468e+01,5.167497059556629324e+01,-2.676206879154266360e+01
8.509478802233364547e+01,5.167642240269982778e+01,-2.702151942842071364e+01
1.021229119900206683e+02,5.196274003100514705e+01,-2.739117137138261171e+01
1.369125873331445860e+02,5.248179656263870640e+01,-2.797471973055611372e+01
1.720549295345102436e+01,6.210498377156920213e+01,-2.666172052477115173e+01
3.410504807867119581e+01,6.172586972935759064e+01,-2.664553546787925953e+01
5.101855689400942850e+01,6.155749684071422223e+01,-2.668369804752395069e+01
6.796941015311520573e+01,6.090654938735191593e+01,-2.684343118961950125e+01
8.513369736601067927e+01,6.109300745649793640e+01,-2.730526372543978653e+01
1.019531308039669568e+02,6.152679139975104761e+01,-2.823556275848715558e+01
1.191325911250896183e+02,6.148848848252400501e+01,-2.937527948477857009e+01
1.366202202534807384e+02,6.162780339644491079e+01,-2.866338326420941485e+01
1.517286435014126482e+02,6.299933815637189127e+01,-2.824962654172359322e+01
1.696229138928270430e+01,7.142730566834353567e+01,-2.666132125456250890e+01
